"miR" "bone" "bone.marrow" "heart" "kidney" "ovary" "placenta" "salivary.gland"
"507" "hsa-miR-3180-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"508" "hsa-miR-3182" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"509" "hsa-miR-3183" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"510" "hsa-miR-3184-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"511" "hsa-miR-3185" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"512" "hsa-miR-3187-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"513" "hsa-miR-3187-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"514" "hsa-miR-3188" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"515" "hsa-miR-3189-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"516" "hsa-miR-3190-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"517" "hsa-miR-3191-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"518" "hsa-miR-3191-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"519" "hsa-miR-3192-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"520" "hsa-miR-3194-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"521" "hsa-miR-3194-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"522" "hsa-miR-3196" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"523" "hsa-miR-3199" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"524" "hsa-miR-32-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"525" "hsa-miR-32-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"526" "hsa-miR-3200-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"527" "hsa-miR-3200-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"528" "hsa-miR-3202" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"529" "hsa-miR-320a" "?" "not on expr" "1" "1" "1" "?" "1"
"530" "hsa-miR-320b" "?" "not on expr" "1" "1" "1" "?" "1"
"531" "hsa-miR-320c" "?" "not on expr" "1" "1" "1" "?" "1"
"532" "hsa-miR-320d" "?" "not on expr" "1" "1" "1" "?" "1"
"533" "hsa-miR-320e" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"534" "hsa-miR-323a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"535" "hsa-miR-323a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"536" "hsa-miR-323b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"537" "hsa-miR-323b-5p" "?" "not on expr" "1" "?" "1" "?" "1"
"538" "hsa-miR-324-3p" "1" "not on expr" "1" "1" "1" "1" "1"
"539" "hsa-miR-324-5p" "1" "not on expr" "1" "1" "1" "1" "1"
"540" "hsa-miR-325" "1" "not on expr" "1" "1" "1" "1" "1"
"541" "hsa-miR-326" "1" "not on expr" "1" "1" "1" "1" "1"
"542" "hsa-miR-328-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"543" "hsa-miR-329-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"544" "hsa-miR-330-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"545" "hsa-miR-330-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"546" "hsa-miR-331-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"547" "hsa-miR-331-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"548" "hsa-miR-335-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"549" "hsa-miR-335-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"550" "hsa-miR-337-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"551" "hsa-miR-337-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"552" "hsa-miR-338-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"553" "hsa-miR-338-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"554" "hsa-miR-339-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"555" "hsa-miR-339-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"556" "hsa-miR-33a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"557" "hsa-miR-33a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"558" "hsa-miR-33b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"559" "hsa-miR-33b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"560" "hsa-miR-340-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"561" "hsa-miR-340-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"562" "hsa-miR-342-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"563" "hsa-miR-342-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"564" "hsa-miR-345-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"565" "hsa-miR-345-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"566" "hsa-miR-346" "1" "not on expr" "1" "1" "1" "1" "1"
"567" "hsa-miR-34a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"568" "hsa-miR-34a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"569" "hsa-miR-34b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"570" "hsa-miR-34b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"571" "hsa-miR-34c-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"572" "hsa-miR-34c-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"573" "hsa-miR-3529-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"574" "hsa-miR-3529-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"575" "hsa-miR-3591-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"576" "hsa-miR-3591-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"577" "hsa-miR-3605-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"578" "hsa-miR-3606-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"579" "hsa-miR-3607-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"580" "hsa-miR-3607-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"581" "hsa-miR-3609" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"582" "hsa-miR-361-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"583" "hsa-miR-361-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"584" "hsa-miR-3611" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"585" "hsa-miR-3612" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"586" "hsa-miR-3613-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"587" "hsa-miR-3613-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"588" "hsa-miR-3614-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"589" "hsa-miR-3614-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"590" "hsa-miR-3616-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"591" "hsa-miR-3616-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"592" "hsa-miR-3617-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"593" "hsa-miR-3618" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"594" "hsa-miR-3619-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"595" "hsa-miR-3619-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"596" "hsa-miR-362-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"597" "hsa-miR-362-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"598" "hsa-miR-3620-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"599" "hsa-miR-3622a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"600" "hsa-miR-3622a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"601" "hsa-miR-3622b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"602" "hsa-miR-3622b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"603" "hsa-miR-363-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"604" "hsa-miR-363-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"605" "hsa-miR-3646" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"606" "hsa-miR-3650" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"607" "hsa-miR-3651" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"608" "hsa-miR-3652" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"609" "hsa-miR-3653-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"610" "hsa-miR-3654" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"611" "hsa-miR-3658" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"612" "hsa-miR-3659" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"613" "hsa-miR-365a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"614" "hsa-miR-365a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"615" "hsa-miR-365b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"616" "hsa-miR-3660" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"617" "hsa-miR-3661" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"618" "hsa-miR-3662" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"619" "hsa-miR-3663-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"620" "hsa-miR-3663-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"621" "hsa-miR-3664-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"622" "hsa-miR-3665" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"623" "hsa-miR-3666" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"624" "hsa-miR-3667-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"625" "hsa-miR-3667-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"626" "hsa-miR-3668" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"627" "hsa-miR-367-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"628" "hsa-miR-367-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"629" "hsa-miR-3670" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"630" "hsa-miR-3671" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"631" "hsa-miR-3672" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"632" "hsa-miR-3674" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"633" "hsa-miR-3675-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"634" "hsa-miR-3678-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"635" "hsa-miR-3679-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"636" "hsa-miR-3679-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"637" "hsa-miR-3680-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"638" "hsa-miR-3680-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"639" "hsa-miR-3681-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"640" "hsa-miR-3681-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"641" "hsa-miR-3682-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"642" "hsa-miR-3682-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"643" "hsa-miR-3684" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"644" "hsa-miR-3685" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"645" "hsa-miR-3686" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"646" "hsa-miR-3688-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"647" "hsa-miR-3688-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"648" "hsa-miR-3689a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"649" "hsa-miR-3689a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"650" "hsa-miR-3689b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"651" "hsa-miR-3689b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"652" "hsa-miR-3689c" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"653" "hsa-miR-3689d" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"654" "hsa-miR-3689e" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"655" "hsa-miR-3689f" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"656" "hsa-miR-369-3p" "1" "not on expr" "1" "1" "1" "1" "1"
"657" "hsa-miR-369-5p" "1" "not on expr" "1" "1" "1" "1" "1"
"658" "hsa-miR-3690" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"659" "hsa-miR-3691-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"660" "hsa-miR-3692-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"661" "hsa-miR-3692-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"662" "hsa-miR-370-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"663" "hsa-miR-370-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"664" "hsa-miR-3714" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"665" "hsa-miR-371a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"666" "hsa-miR-371a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"667" "hsa-miR-371b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"668" "hsa-miR-372-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"669" "hsa-miR-373-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"670" "hsa-miR-373-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"671" "hsa-miR-374a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"672" "hsa-miR-374a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"673" "hsa-miR-374b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"674" "hsa-miR-374b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"675" "hsa-miR-374c-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"676" "hsa-miR-374c-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"677" "hsa-miR-375" "1" "not on expr" "1" "1" "1" "1" "1"
"678" "hsa-miR-376a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"679" "hsa-miR-376a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"680" "hsa-miR-376b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"681" "hsa-miR-376c-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"682" "hsa-miR-377-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"683" "hsa-miR-377-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"684" "hsa-miR-378a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"685" "hsa-miR-378a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"686" "hsa-miR-378b" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"687" "hsa-miR-378c" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"688" "hsa-miR-378d" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"689" "hsa-miR-378e" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"690" "hsa-miR-378f" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"691" "hsa-miR-378h" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"692" "hsa-miR-378i" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"693" "hsa-miR-379-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"694" "hsa-miR-379-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"695" "hsa-miR-380-3p" "?" "not on expr" "?" "?" "?" "1" "?"
"696" "hsa-miR-380-5p" "?" "not on expr" "?" "?" "?" "1" "?"
"697" "hsa-miR-381-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"698" "hsa-miR-382-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"699" "hsa-miR-382-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"700" "hsa-miR-383-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"701" "hsa-miR-384" "1" "not on expr" "1" "1" "1" "1" "1"
"702" "hsa-miR-3907" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"703" "hsa-miR-3908" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"704" "hsa-miR-3909" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"705" "hsa-miR-3910" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"706" "hsa-miR-3911" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"707" "hsa-miR-3913-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"708" "hsa-miR-3913-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"709" "hsa-miR-3914" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"710" "hsa-miR-3915" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"711" "hsa-miR-3916" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"712" "hsa-miR-3918" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"713" "hsa-miR-3919" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"714" "hsa-miR-3920" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"715" "hsa-miR-3921" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"716" "hsa-miR-3922-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"717" "hsa-miR-3922-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"718" "hsa-miR-3923" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"719" "hsa-miR-3924" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"720" "hsa-miR-3925-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"721" "hsa-miR-3925-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"722" "hsa-miR-3926" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"723" "hsa-miR-3927-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"724" "hsa-miR-3928-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"725" "hsa-miR-3929" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"726" "hsa-miR-3934-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"727" "hsa-miR-3935" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"728" "hsa-miR-3936" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"729" "hsa-miR-3938" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"730" "hsa-miR-3941" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"731" "hsa-miR-3942-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"732" "hsa-miR-3943" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"733" "hsa-miR-3944-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"734" "hsa-miR-3945" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"735" "hsa-miR-3973" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"736" "hsa-miR-3974" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"737" "hsa-miR-3975" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"738" "hsa-miR-3976" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"739" "hsa-miR-3977" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"740" "hsa-miR-3978" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"741" "hsa-miR-409-3p" "1" "not on expr" "1" "1" "1" "1" "1"
"742" "hsa-miR-409-5p" "1" "not on expr" "1" "1" "1" "1" "1"
"743" "hsa-miR-410-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"744" "hsa-miR-411-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"745" "hsa-miR-411-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"746" "hsa-miR-412-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"747" "hsa-miR-421" "1" "not on expr" "1" "1" "1" "1" "1"
"748" "hsa-miR-422a" "1" "not on expr" "1" "1" "1" "1" "1"
"749" "hsa-miR-423-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"750" "hsa-miR-423-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"751" "hsa-miR-424-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"752" "hsa-miR-424-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"753" "hsa-miR-425-3p" "?" "not on expr" "?" "?" "?" "1" "?"
"754" "hsa-miR-425-5p" "?" "not on expr" "?" "?" "?" "1" "?"
"755" "hsa-miR-4251" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"756" "hsa-miR-4252" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
